Company Name,Industry,Symbol, Net Income,ROA ,operating cash flow 2020,Long term debt 2019,Long term debt 2020,Current Ratio 2019,Current Ratio 2020,Outstanding Shares in 2019,Outstanding Shares in 2020,Gross margin 2019,Gross margin 2020,Asset Turnover Ratio 2019,Asset Turnover Ratio 2020 ,,,
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,458,10.04,-8,0,9,3.22,3.39,181762135,182067975,44.16,36.03,48.67,41.74,,,
NMDC Ltd.,METALS,NMDC,3602,11.41,59,0,58.3,2.6,2.64,3061849659,3061849659,61.82,55.69,40.65,37.38,,,
NTPC Ltd.,POWER,NTPC,11496,3.06,265,1470637.1,1760200.2,0.66,0.98,9894557280,9894557280,28.84,31.46,28.92,28.92,,,
National Aluminium Co. Ltd.,METALS,NATIONALUM,138,0.93,-153,0,502.5,1.93,1.68,1865617498,1865617498,27.98,8.99,75.91,58.23,,,
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,401,25.08,160,0,153.43,3.17,4.39,49461025,49484320,25.37,27.96,76.18,65.18,,,
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,2082,26.36,177,351.4,1427.4,1.74,1.68,96415716,96415716,25.65,25.07,172.43,168.99,,,
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,412,14.66,180,0,814.3,24.1,12.29,612000000,612111867,49.22,52.98,52.18,40.25,,,
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,683,6.14,-233,5885.1,0,3.03,2.87,363602237,363602237,47.78,48.99,23.2,19.94,,,
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,10523,2.11,707,527732.72,809464.42,0.7,0.65,12580279206,12580279206,19.64,15.42,85,77.79,,,
Oil India Ltd.,OIL & GAS,OIL,3948,8.28,-3045,107552.8,128127.5,1.45,0.83,1084405194,1084405194,48.74,32.14,26.28,36.38,,,
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,455,10.8,63,99,3994,2.08,1.83,138030651,138107993,22.38,22.77,90.05,79.68,,,
Page Industries Ltd.,TEXTILES,PAGEIND,343,22.68,112,198.69,1270.32,1.88,1.82,11153874,11153874,22.9,18.91,211.18,194.68,,,
Petronet LNG Ltd.,OIL & GAS,PETRONET,2688,14.32,749,1012,36529,2.4,2.91,1500000088,1500000088,9.73,12.27,251.78,187.9,,,
Pfizer Ltd.,PHARMA,PFIZER,509,11.55,1689,0,886.8,3.05,3.49,45747732,45747732,35.19,35.16,52.83,48.84,,,
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,1119,17.08,533,85.1,1082.1,2.75,2.33,507979930,508127080,21.4,23.65,119.67,111.6,,,
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,-1042,0.03,1988,270330.7,204504.5,0.39,0.68,198846564,225538356,60.38,51.71,13.87,17.44,,,
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,773,12.73,-6,889.25,408.39,1.5,2.02,148645905,148933123,12.77,13.9,141.35,148.11,,,
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,9455,1.02,1178,4532613.8,5105754.2,4.07,4,2640081408,2640081408,96.95,88.34,8.6,8.95,,,
Power Grid Corporation of India Ltd.,POWER,POWERGRID,10904,4.3,1192,1313295.1,1354344,0.61,0.69,5231589648,5231589648,87.91,89.73,14.17,14.7,,,
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,544,1.35,132,47194,69611,0.89,0.9,375000000,400861654,30.27,30.45,18.02,27.29,,,
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,433,23.68,358,0,14.7,1.66,2.23,32460736,32460736,22.48,21.57,180.57,164.18,,,
Punjab National Bank,FINANCIAL SERVICES,PNB,363,0.05,459,468279.7,625124.1,,,4604047028,9410629315,,,,,,,
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,500,0.56,2302,118320.65,170069.12,,,427713969,508739954,,,,,,,
REC Ltd.,FINANCIAL SERVICES,RECLTD,4963,1.43,1335,2331617.3,2746780.5,15.17,3.96,1974918000,1974918000,93.42,87.02,8.51,8.61,,,
Reliance Industries Ltd.,OIL & GAS,RELIANCE,39773,3.37,19839,2075060,2051470,0.73,0.63,6339038430,6761844754,16.25,17.09,56.78,51.25,,,
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,1422,0.85,2113,0,0,1.78,1.93,1000000000,1000039963,91.31,72.9,1.02,1.17,,,
SRF Ltd.,CHEMICALS,SRF,915,9.36,-73,21613.4,23856.1,0.99,0.88,57480500,57480500,18.66,20.86,71.8,66.28,,,
Sanofi India Ltd.,PHARMA,SANOFI,477,16.36,77,0,0,3.03,2.67,23030622,23030622,24.73,27.66,94.64,99.43,,,
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,1570,8.11,-30,23090.4,17310.9,2.01,1.79,34837225,36080748,24.72,33.14,77.15,61.55,,,
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,2501,2.19,2059,461025.85,587223,2.73,2.58,226882736,226882736,72.97,71.57,14.73,14.48,,,
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,769,4.84,1204,0,1213,2.1,2.17,356120255,356120255,13.72,13.25,89.64,62.71,,,
State Bank of India,FINANCIAL SERVICES,SBIN,12395,0.47,28803,4137476.61,3329006.7,,,8924611534,8924611534,,,,,,,
Steel Authority of India Ltd.,METALS,SAIL,1926,1.67,124,308026.6,345600.3,0.78,0.91,4130641724,4130636279,15.31,18.03,56.78,48.58,,,
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,4186,5.51,-1385,15226.1,20289.2,1.79,2.02,2399334970,2399334970,25.22,23.22,44.92,48.11,,,
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,1389,21.28,26,0,706.9,7.37,7,394084620,394084620,74.91,72.06,61.03,54.08,,,
